date,sales
2022-01-01,109.93428306022466
2022-01-02,98.5426026951218
2022-01-03,115.5683211310368
2022-01-04,134.37935646835822
2022-01-05,100.53622543830565
2022-01-06,101.83219367204971
2022-01-07,139.3887227594646
2022-01-08,124.43538315463483
2022-01-09,100.97091486364657
2022-01-10,122.47562285910911
2022-01-11,103.60921794612197
2022-01-12,104.80409487643965
2022-01-13,120.18587406025493
2022-01-14,78.29465080489271
2022-01-15,83.26009934876103
2022-01-16,107.69438210625853
2022-01-17,99.84758614436603
2022-01-18,127.53457390423651
2022-01-19,104.21487310852697
2022-01-20,95.23430582673936
2022-01-21,153.8766921153277
2022-01-22,121.10887879009749
2022-01-23,128.01207455627528
2022-01-24,99.17916441911447
2022-01-25,117.77372684363974
2022-01-26,131.84087543463417
2022-01-27,107.53656823826398
2022-01-28,138.97660695106177
2022-01-29,120.3275200621391
2022-01-30,127.35479035492682
2022-01-31,121.97294730297554
2022-02-01,171.84045420031094
2022-02-02,135.28154413665493
2022-02-03,115.12208278257052
2022-02-04,153.41969213042563
2022-02-05,113.21159677149701
2022-02-06,142.43214343041086
2022-02-07,99.65417871453907
2022-02-08,112.84249980483978
2022-02-09,143.86767749575873
2022-02-10,155.1893121051146
2022-02-11,144.30191411602047
2022-02-12,138.98097712643934
2022-02-13,135.6559172340449
2022-02-14,112.45612355876852
2022-02-15,127.94268714515547
2022-02-16,133.40419366901136
2022-02-17,164.00119759563157
2022-02-18,149.93732771560468
2022-02-19,107.97487343842829
2022-02-20,149.8526993624564
2022-02-21,135.76951163586426
2022-02-22,129.99785518019885
2022-02-23,155.8002079623669
2022-02-24,164.18259833437875
2022-02-25,162.15000522203772
2022-02-26,126.6680876651619
2022-02-27,137.16287739651747
2022-02-28,149.83418257187375
2022-03-01,162.54919757292532
2022-03-02,133.25231170299213
2022-03-03,138.88880483415613
2022-03-04,120.21076258523046
2022-03-05,118.11873684492707
2022-03-06,157.9693980728207
2022-03-07,168.4910099049863
2022-03-08,139.54539444956896
2022-03-09,160.64847982621495
2022-03-10,147.37641464541974
2022-03-11,126.78165975384017
2022-03-12,146.42768750801056
2022-03-13,169.4524878084807
2022-03-14,137.4444061713217
2022-03-15,168.9011158826564
2022-03-16,84.6397837282795
2022-03-17,152.87931284560784
2022-03-18,137.56994523468603
2022-03-19,129.2188147584725
2022-03-20,136.3874257177479
2022-03-21,94.13846440926741
2022-03-22,128.81953366734356
2022-03-23,139.66497711884938
2022-03-24,161.37813160161983
2022-03-25,120.74130184422967
2022-03-26,114.2133930128274
2022-03-27,119.61597104116446
2022-03-28,147.21948405665825
2022-03-29,134.74048052419298
2022-03-30,116.81916910896989
2022-03-31,136.92475236819539
2022-04-01,127.84332293785313
2022-04-02,144.51560294568196
2022-04-03,110.34236230274487
2022-04-04,117.0719193261952
2022-04-05,115.02698026994254
2022-04-06,92.84629174194866
2022-04-07,127.29112910109882
2022-04-08,125.84786096464519
2022-04-09,119.99416234027487
2022-04-10,114.47359213429948
2022-04-11,90.14085378723628
2022-04-12,109.3289652858836
2022-04-13,110.1930181974613
2022-04-14,100.32018394208654
2022-04-15,112.47255482605937
2022-04-16,123.12706302282268
2022-04-17,152.13387790193892
2022-04-18,117.28324796310157
2022-04-19,118.34270918140976
2022-04-20,111.12230860032878
2022-04-21,73.67585893284331
2022-04-22,110.98258333864328
2022-04-23,112.20152890094889
2022-04-24,159.7692553153604
2022-04-25,106.189017095224
2022-04-26,115.62422308539506
2022-04-27,108.48214883794601
2022-04-28,85.41282029186821
2022-04-29,131.2805117153941
2022-04-30,123.12882391791535
2022-05-01,123.60606563445239
2022-05-02,89.32278413460779
2022-05-03,135.32202117965642
2022-05-04,79.01582650972239
2022-05-05,118.60839246454633
2022-05-06,150.53099726629753
2022-05-07,86.79452680129583
2022-05-08,95.19586584776765
2022-05-09,108.46503823450689
2022-05-10,96.38669655604984
2022-05-11,75.46149241486755
2022-05-12,107.89922831668578
2022-05-13,85.37002126563283
2022-05-14,116.21121089890244
2022-05-15,88.5094637453541
2022-05-16,138.0906795104684
2022-05-17,91.65652072216717
2022-05-18,101.1455567154373
2022-05-19,124.15794803036995
2022-05-20,83.6067187461627
2022-05-21,113.14511623500015
2022-05-22,135.1460803401894
2022-05-23,77.29610566291166
2022-05-24,113.61603032127593
2022-05-25,115.63338823950052
2022-05-26,126.61908279995367
2022-05-27,86.82469438483153
2022-05-28,85.76948563667993
2022-05-29,123.26578023463794
2022-05-30,119.44795112897523
2022-05-31,119.23191796872102
2022-06-01,121.89680126304128
2022-06-02,102.14453186532094
2022-06-03,121.19810557993779
2022-06-04,123.25266897574856
2022-06-05,103.97189213859231
2022-06-06,156.47092037133243
2022-06-07,129.55666821664133
2022-06-08,97.20581751961299
2022-06-09,135.14133092203767
2022-06-10,103.52065440160422
2022-06-11,139.78480039742044
2022-06-12,148.26773613371125
2022-06-13,109.75786601690567
2022-06-14,146.5367430104293
2022-06-15,136.64358968550428
2022-06-16,145.96796523305846
2022-06-17,168.6204264307049
2022-06-18,126.95257417883421
2022-06-19,117.97827769968893
2022-06-20,116.4711813805611
2022-06-21,119.16842872603587
2022-06-22,135.17933367597578
2022-06-23,144.7935671969995
2022-06-24,144.76477257881805
2022-06-25,157.04514879812143
2022-06-26,142.0409645030438
2022-06-27,172.1387733838369
2022-06-28,139.06864021416214
2022-06-29,200.0641549071853
2022-06-30,159.47720637674234
2022-07-01,131.12666792049916
2022-07-02,128.15957571855887
2022-07-03,160.53490088601458
2022-07-04,147.7234168142918
2022-07-05,167.7778691065347
2022-07-06,164.26454132416595
2022-07-07,154.6406630985485
2022-07-08,140.45312774258062
2022-07-09,128.37691867558468
2022-07-10,151.02032577785945
2022-07-11,178.34607282757628
2022-07-12,166.75697533405975
2022-07-13,138.8056931212715
2022-07-14,168.4166673495024
2022-07-15,173.87805079878737
2022-07-16,149.69816196186568
2022-07-17,171.6372701359857
2022-07-18,170.89716548047898
2022-07-19,148.02551038781877
2022-07-20,179.17324902183822
2022-07-21,184.34541911051167
2022-07-22,195.8816267438411
