Date,Predicted_Sales
2024-01-01,290.57559836487644
2024-01-02,290.43288420623605
2024-01-03,290.6787667143477
2024-01-04,290.9246492224594
2024-01-05,291.17053173057104
2024-01-06,291.4164142386827
2024-01-07,291.66229674679437
2024-01-08,291.90817925490603
2024-01-09,292.1540617630177
2024-01-10,292.39994427112936
2024-01-11,292.645826779241
2024-01-12,292.8917092873527
2024-01-13,293.13759179546435
2024-01-14,293.383474303576
2024-01-15,293.62935681168767
2024-01-16,293.87523931979933
2024-01-17,294.121121827911
2024-01-18,294.36700433602266
2024-01-19,294.6128868441343
2024-01-20,294.858769352246
2024-01-21,295.10465186035765
2024-01-22,295.3505343684693
2024-01-23,295.596416876581
2024-01-24,295.84229938469264
2024-01-25,296.0881818928043
2024-01-26,296.33406440091596
2024-01-27,296.5799469090276
2024-01-28,296.8258294171393
2024-01-29,297.07171192525095
2024-01-30,297.3175944333626
